epoch,train_loss,train_acc,test_acc
1,1.8691101706757838,0.3213,0.4397
2,1.6174292984057446,0.41316,0.5911
3,1.481575226297184,0.46194,0.5992
4,1.3603422149103515,0.5039,0.5986
5,1.2086655482345698,0.5562,0.5909
6,1.0241299067832985,0.6278,0.4708
7,0.7941065138700057,0.7155,0.5012
8,0.5502987193817995,0.80792,0.5018
9,0.34770974874192356,0.88628,0.4553
10,0.23704453101571726,0.92474,0.4705
11,0.14801211408054343,0.95582,0.4936
12,0.11071499908456997,0.96746,0.4868
13,0.0935054814861137,0.97256,0.4749
14,0.10308729167267376,0.96714,0.4624
15,0.12733636585501384,0.95748,0.4784
